|CODPROD|DESCRICAO                               |
|589    |PURE DE BATATA CREMMY 10X800G           |
|590    |CREME DE LEITE SABOR/VIDA 12X300ML      |
|591    |CREME DE LEITE SABOR/VIDA 12X500ML      |
|592    |REQUEIJAO BISN TRAD SABOR/VIDA 10X1,8KG |
|593    |REQUEIJAO BISN CUL JANGADA S.VI 10X1,8KG|
|594    |CREAM CHEESE BISN 6X1,2 KG - IPANEMA    |
|595    |BEB LAC CHOC ELEGE 24X200ML             |
|596    |BEB LAC CHOC ELEGE 12X1L                |
|597    |CREME DE LEITE SABOR/VIDA 12X500ML      |
|598    |LEIT FERM AMEIX SAB/VIDA 24X180GR       |
|599    |IOR MORANGO SABOR/VIDA 24X180G          |
|600    |IOG SAB/VIDA S/D S FRUTAS 24X180GR      |
|601    |COALHADA INT ADOC SAB/VIDA 24X140GR     |
|602    |IOR MEL E AVEIA SAB/VIDA 24X180GR       |
|603    |IOG SAB/VIDA 2CAM C/POLPA MOR 24X130GR  |
|604    |REQUEIJAO BISN TRAD SABOR/VIDA 24X200G  |
|605    |AZEITE DOLAGAR 36X200ML                 |
|606    |AZEITE DOLAGAR 20X500ML                 |
|607    |AZEITE COMPOSTO PET 4X5,010 L           |
|608    |LEITE PO 10X1KG                         |
|609    |OLEO REI DE SOJA 20X900ML               |
|610    |EMB.QUENTINHA FECH.MAQUINA              |
|611    |EMB.QUENTINHA FECH.MANUAL               |
|612    |BOB.ALUM. 30X7,5                        |
|613    |PAPEL ALUMINIO BOB 45 CM X 7,5M         |
|614    |BOB.FILME P/ALIM. 1500CM                |
|615    |BOB.FILME P/ALIM. 3000CM                |
|616    |PROT.P/FOGAO 30X1                       |
|617    |IOR MORANGO SABOR/VIDA 24X140G          |
|618    |REQUEIJAO BISN CHEDDAR SABOR/VI 10X1,8KG|
|619    |LANCHE DUBOI                            |
|620    |MILHO VERDE SACHE FUGINI 6X2KG          |
|621    |MAIONESE AMELIA SACHE 6X1KG             |
|622    |MAIONESE AMELIA 4X3KG                   |
|623    |LEITE BATAVO 12X1LT                     |
|624    |SALSICHA SEARA CX20KG- PCT 5KG          |
|625    |PRESUNTO PERU COZ SEARA                 |
|626    |LANCHE SEARA 1X6PC                      |
|627    |MOLHO TOMATE GOIAS V. MANJ SACHE 24X340G|
|628    |MOLHO INGLES CREMMY 12X900ML            |
|629    |CATCHUP GOSTOSAO 12X930G                |
|630    |MOLHO TP CATCHUP GOSTOSAO 4X3,2KG       |
|631    |FILE PEITO IN NAT IND FRIATTO 20KG      |
|632    |BACON SUINO SEARA                       |
|633    |IOR MEL E AVEIA SAB/VIDA 12X900GR       |
|634    |AZEIT PRETA CALIF.28/32 ALIMENKO 2KG    |
|635    |CARNE PALETA BOVINA RESF                |
|636    |LING CURVA SEARA 6X2,5 KG               |
|637    |GOIABA CALDA LT CEPERA 12X400G          |
|638    |FIGO CALDA LT CEPERA 12X400G            |
|639    |ABACAXI CALDA LT CEPERA 12X400G         |
|640    |PESSEGO CALDA LT CEPERA 12X450G         |
|641    |MOLHO MAMADORO PIZ SACHE CEPERA 24X340G |
|642    |MOLHO MAMADORO TRAD SACHE CEPERA 32X340G|
|643    |MOLHO MAMADORO NORD SACHE CEPERA 32X340G|
|644    |MOLHO MAMADORO PARMEG SAC CEPERA 32X340G|
|645    |MOLHO MAMADORO PEPER SACH CEPERA 32X340G|
|646    |MOLHO MAMADORO MANJER SAC CEPERA 32X340G|
|647    |MOLHO SHOYU CEPERA 12X1,01L             |
|648    |MOLHO DE ALHO CEPERA 12X1010ML          |
|649    |MOSTARDA AMAR CEPERA 12X1,01KG          |
|650    |CATCHUP SACHE CEPERA 175X7G             |
|651    |MAIONESE SACHE CEPERA 175X7G            |
|652    |MOSTARDA AMAR CEPERA SC 175X7G          |
|653    |BICO DOSADOR CEPERA CX12UN              |
|654    |CATCHUP BIG PET CEPERA 4X3,5KG          |
|655    |MOSTARDA AMAR BIG PET CEPERA 4X3,3KG    |
|656    |MOLHO BARBECUE P/CHURR CEPERA 4X3,5KG   |
|657    |AZEITE DENDE CEPERA 24X200ML            |
|658    |AZEITE DENDE CEPERA 12X900ML            |
|659    |FILE PEITO IN NAT IND JAGUAFRA 20 KG    |
|660    |LING CAL RETA REGINA 4X2,5KG            |
|661    |POLPA ACAI 1KG                          |
|662    |MARGARINA MED DE OURO 15KG              |
|663    |CATCHUP BUCATINNI SACHE 162X7G          |
|664    |CHANTY AMELIA 12X1L                     |
|665    |PEITO IND. FRANGO RICO CX20KG           |
|666    |FILE DE PEITO FRANGO RICCO CX20KG       |
|667    |CARNE DE SOL PALETA REALEZA             |
|668    |LOMBO TP CANADENSE DEF SEARA 6 PÇAS     |
|669    |LEITE CONDEN ITALAC 27X395G             |
|670    |BEB LAC CHOC ITALAC 24X200ML            |
|671    |CREME DE LEITE ITALAC 24X200G           |
|672    |BRIGADEIRO MELKEN 500G                  |
|673    |CARNE MOIDA KICARNE DUBOI 20X500G       |
|674    |CARNE DE SOL LOMBO F NILZAN             |
|675    |REALCADOR DE SABOR AJINOMOTO 48X36G     |
|676    |SAZON CALDO GALINHA 37,5G               |
|677    |SAZON VERMELHO-TEMP  CARNES 60G         |
|678    |SAZON VERDE- TEMP AVES 60G              |
|679    |SAZON NORDESTE 60G                      |
|680    |SAZON MARRON- TEMP FEIJAO 60G           |
|681    |SAZON LARANJA- MASSAS E MOLHOS 60G      |
|682    |SAZON BRANCO- TEMP ARROZ BRANCO 60G     |
|683    |SAZON AMARELO- TEMP LEGUMES 60G         |
|684    |CHANTY AMELIA 27X200G                   |
|685    |GELEIA GOIABA FUGINI 24X230G            |
|686    |GELEIA MORANGO FUGINI 24X230G           |
|687    |GELEIA UVA FUGINI 24X230G               |
|688    |ERVILHA  COPO FUGINI 24X200G            |
|689    |MARGARINA PRIMOR 15KG                   |
|690    |LEITE PO ITAMBE 200G                    |
|691    |ACHOCOLATADO PO ITALAC 24X200G          |
|692    |LEITE INTEG ITALAC 12X1L                |
|693    |MANTEIGA DA TERRA MATUTINHA 30X500ML    |
|694    |CREME DE NATA MATUTINHA 50X500G         |
|695    |MOLHO BARBECUE P/CHURR CEPERA 12X1010 L |
|696    |MOLHO INGLES CEPERA 12X1010ML           |
|697    |BEIJINHO SABOR COCO 1,010KG MELKEN      |
|698    |SACO DE PAPEL VIAGEM  FD C/2000 40X28   |
|699    |BACON SUINO EM FATIAS SEARA 250G        |
|700    |FILEZINHO DE FRANGO SADIA PCT 1KG-CX12KG|
|701    |CAPA FILE A QUALITY BEEF 20 KG          |
|702    |PATINHO BOVINO                          |
|703    |PEPPERONI FATIADO FRIMESA 1KG CX9       |
|704    |FILE PEITO FGO RIGOR CX18KG             |
|705    |PEDRA SAN Q-ODOR SORT 12X40G MISTO      |
|706    |PEITO FGO BOM TODO IN NAT IND 20KG      |
|707    |CARNE MUSCULO BOVINO KG                 |
|708    |CARNE FIGADO BOVINO KG                  |
|709    |SACO LIXO REF DOVER ROL 200L PC C/25    |
|710    |SACO LIXO REF DOVER ROL 100L PC C/25    |
|711    |VASSOURA DENTRO/FORA ALKLIN             |
|712    |VASSOURA ESCOVAO ALKLIN                 |
|713    |LIXEIRA PEDAL MARFINITE 75L             |
|714    |PEITO CHESTER PERDIGAO CX 10,4KG        |
|715    |PALMITO PICADO ACAI CRISTAL 270G        |
|716    |SAZON VERMELHO-TEMP  CARNES 900G        |
|717    |MILHO VERD CONS. LT FUGINI 24X200G      |
|718    |QUEIJO MUSSARELA DAMARE                 |
|719    |PALMITO COOPALMITO PICADO 6X1.8KG       |
|720    |LANCHE DE FRANGO  REGINA 21KG CX        |
|721    |MORTADELA FRANGO GOST REGINA 200G       |
|722    |MORTADELA BOVINA GOST REGINA 200G       |
|723    |HOT WINGS CONG 12X700G PCT              |
|724    |COCO RALA ORIGINAL ADELCOCO 24 X100G    |
|725    |COCO RALADO UMED ADOÇ ADELCOCO 24X100G  |
|726    |COCO RALADO QUEIMADO ADELCOCO 24X100G   |
|727    |SAZON BRANCO- TEMP TOQUE DE LIMAO 60G   |
|728    |SAZON BRANCO- TEMP TOQUE DE ALHO 60G    |
|729    |AZEITONA PRETA 16 20 ALIMENKO 6X2KG     |
|730    |BACON FATIADO FRIMESA 1KG               |
|731    |PEITO PERU DEFUMADO CX5,1KG SEARA       |
|732    |QUEIJO COALHO  TERRA DO LEITE QUADRADO  |
|733    |LEITE PO ELEGE 50X200G                  |
|734    |SAZON CALDO PICANHA T ALHO 37,5G        |
|735    |SAZON CALDO CARNE 37,5G                 |
|736    |FILE DE PEITO GUIBON CX 18KG            |
|737    |GUARDANAPOS DE PAPEL 14X14 UGHT(20X160) |
|738    |GUARDANAPOS DE PAPEL FD 20X20 (48X50)   |
|739    |OLEO SOJA  CX 20 UN                     |
|740    |AZEITON VER C/ CAROÇO 32X45 6X2KG HEMMER|
|741    |AZEITONA VERDE FATIADA HEMMER 4X1,8KG   |
|742    |MOLHO TOMATE TRAD MAMADORO 24X340G      |
|743    |MOLHO MAMADORO BACO SACHE CEPERA 32X340G|
|744    |AZEITONA VERDE FATIADA 4X2KG            |
|745    |PEITO FRAN BOM TODO 20KG                |
|746    |MASSA PASTEL BONA 1KG                   |
|747    |PALMITO PICADO COOPALMITO 15X300G       |
|748    |COSTELINHA SUINA PORC FRIALL CX 25KG    |
|749    |COXA E SOBCOXA CX 20KG                  |
|750    |FILE PEITO IN NAT IND FRANCHIK CX 18K   |
|751    |PALMITO PALMITO ACAI PICADO TAUA 300G   |
|752    |AZEITONA HEMMER 300G SACHE              |
|753    |PIMENTA BIQUINHO VER. HEMMER CX 12X0,200|
|754    |BATATA TRAD ONE FRY 6X2,5KG CX15KG      |
|756    |CHOC FORNEAVEL  LEIT 8X1,01             |
|757    |QUEIJO MUSSARELA KARINA                 |
|758    |BATATA PRE FRITA BERGIA 2,5KG           |
|759    |PEITO DE FRANGO COM OSSO 20KG           |
|760    |CREME CULINARIO ELEGE 12X1KG            |
|761    |CAIXA PIZZA K25 BRANCA                  |
|762    |CATCHUP TRAD STANDUP CREMY 24X200       |
|763    |MAIONESE TRAD SACH STANDUP CREMY 24X200 |
|764    |CARNE MAMINHA DA ALCATRA BOV MATURATTA  |
|765    |FILE DE PANGA 1KG                       |
|766    |MORTADELA SADIA 12 KG                   |
|767    |AZEITONA VERDE FATIADA DIMAS 2KG        |
|768    |CODIGO LIVRE                            |
|769    |PALMITO CULTIVERDE INTEIRO 6X1.8KG      |
|770    |ALHO S. BALDE 2KG                       |
|771    |CALDO CARNE LEAL SABOR 12X130G          |
|772    |CALDO DE GALINHA LEAL SABOR 12X130G     |
|773    |MOLHO DE PIM LEAL SABOR 12X150ML        |
|774    |MOLHO INGLES LEAL SABOR 12X150ML        |
|775    |MOLHO SHOYU LEAL SABOR 12X150ML         |
|776    |TEMPERO COMPLET C/LEAL SABOR 12X500ML   |
|777    |TEMPERO COMPLET S/LEAL SABOR 12X500ML   |
|778    |EXTRATO TOMATE FUG 32X340G              |
|779    |CHOC  MELKEN  BARRA BRANCO10X1,050KG    |
|780    |CHOC CONFEI RECH FORN AO LEITE  8X1,05KG|
|781    |GRANULA CROC COLORIDO 10X1,050KG        |
|782    |GRANUL CROC MULTICOLOR 10X1,050KG HARALD|
|784    |VW/FOX 1.6 PRIME GII                    |
|785    |COXA C SOB FRANGO NAT IND MISTER 18KG   |
|786    |LOMBO SUINO SADIA CX 10K                |
|787    |OREGANO PERUANO PAC 0,400G              |
|788    |SAL REF CRISTAL OURO FARDO 25KG         |
|789    |AZEITONA VERDE SEM/CAR HEMMER 4X1,800KG |
|790    |AZEITONA VD C/CARO SC HEMMER 24X0,180KG |
|791    |AZEITONA VERDE S/CARO HEMMER 24X0,140KG |
|792    |AZEITONA VD C/CARO PT HEMMER 12X0,500KG |
|793    |ATUM SOLIDO HEMMER LT 24X0,120G         |
|794    |ATUM RALADO HEMMER LT 24X0,120G         |
|795    |EMBALAGEM PLASTICA 24X40X,10  PCT1000   |
|796    |EMBALAGEM PLASTICA 22X36X,10  PCT1000   |
|797    |EMBALAGEM PLASTICA 21X25X,10  PCT1000   |
|798    |CARNE DE SOL 1                          |
|799    |MOLHO PIM CREMY 12X150ML                |
|800    |MOLHO SHOYU CREMMY 12X150ML             |
|801    |ALHO E SAL AJINOMO SABOR A MI BALDE 5KG |
|802    |PEITO C/ OSSO CONG BONASA CX 15KG       |
|803    |FILE CONG FRANGO LANGUIRU CX 12KG       |
|804    |MASSA PASTEL SABOR REAL 1KG             |
|805    |MASSA PASTEL KG                         |
|806    |COXA/SOBRECOXA CONG BONASA CX 20 KG     |
|807    |ACUCAR IMPALPAVEL CONF HARALD 10X1KG    |
|808    |CREME TIPO GANACHE AO LEITE 10X1KG      |
|809    |CHOC MELKEN BLEND 10X1,05KG             |
|810    |MUSCULO BOV CONG MAFRINORTE             |
|811    |RABO BOV FRIGOL                         |
|812    |COXAO MOLE  RESF FRIVASA                |
|813    |QUEIJO MUSSARELA MONTE VERDE            |
|814    |CARNE DE SOL LOMBO S OSSO               |
|815    |AZEITE COMPOSTO GALEGA 4X5,03 LTS       |
|816    |EMBALAGEM PLASTICA 25X45X,10  PCT1000   |
|817    |COAGULANTE LIQUIDO(MICROBIAL RENNET)    |
|818    |CLORETO DE CALCIO 1/28 KG               |
|819    |MASSA PASTEL TRIG MASSA 1KG             |
|820    |SAZON PROFIS VERMELHO 450GR             |
|821    |AZEITONA VERDE C/CARO  HEMER 24X0,200KG |
|822    |LEITE LONGA VIDA LIRIO 12X1LT           |
|823    |PRESUNTO SUINO  SEARA 13,990 KG         |
|824    |FILE DE PEITO IND BONASA CX 18KG        |
|826    |POLPA CUPUACU DOSADA 500G- PCT 5 UN     |
|827    |QUEIJO MUSSARELA PRINCESUL              |
|828    |AMEIXA COM CAROCA ARGNTINA 110/132 10KG |
|829    |UVA PASSA PRETA ARGENTINA 10KG          |
|830    |AZEITE DE OLIV E V TERRANO ACID 12X250ML|
|831    |ARROZ BRANCO CAMIL 30X1KG               |
|832    |FILE DE PEITO IND BONASA CX 20KG        |
|833    |ESPUMADEIRA INOX COM GANCHO FS          |
|834    |PEPPERONI FATIADO CERATTI KG            |
|835    |SAL REFINADO 30X1                       |
|836    |PRESUNTO BOM GOSTO 6,4 KG               |
|837    |PRESUNTO BOM GOSTO CX 6,4 KG            |
|838    |AZEITONA VERDE FATIADA SC HEMER 24X0,150|
|839    |COXA S/COXA IN NAT IND FRIATTO  20KG    |
|840    |FILE DE PEITO IND BONASA CX 20 KG       |
|841    |PEITO C/ OSSO CONG BONASA CX 18KG       |
|842    |CHOC. BARRA MEIO AMARGO TOP 10X1,05KG   |
|843    |CEREAL BALL LEITE BRANCO TOP 12X500G    |
|844    |CEREAL BALL MICRO L. BRANCO TOP 12X500G |
|845    |QUEIJO MONTANHES BURITIS 7KG            |
|846    |POLPA MAROMBA CLOROFILA 20X200G         |
|847    |CEREAL BALL LEITE BRANCO TOP 12X500G    |
|848    |CEREAL BALL MICRO L. BRANCO TOP 12X500G |
|849    |RECHEIO FORN M. AMARG CONF 8X1,05 KG    |
|850    |GOMA TRIGTALY                           |
|851    |ERVILHA  LATA BONARE 24X200G            |
|852    |VINAGRE DE ALCOOL LORD 2X5 LITROS       |
|853    |REQUEIJAO BURITIS BISN 8X1,8KG          |
|854    |REQUEIJAO SANTA MARTA BISN 8X1,8KG      |
|855    |QUEIJO COALHO MULTIBOM                  |
|856    |QUEIJO MUSSARELA THALIA                 |
|857    |FILE PEITO DE FRANGO 20 KG              |
|858    |MAIONESE TRAD FUGINI SC 36X200G         |
|859    |MAIONESE TRAD FUGINI SC 6X2 KG          |
|860    |DUETO MILHO/ERVILHA FUGINI 24X200G      |
|861    |QUEIJO MUSSARELA JULIANA                |
|862    |HR 2.5 LONGO CHASSI ALTO STDGL          |
|863    |AZEITONA VERDE INTEIRA FUG SC 6X1,050 KG|
|865    |SONHO DE VALSA - SORVETE                |
|866    |LACTA - SORVETE                         |
|867    |COCO - SORVETE                          |
|868    |COCO COM TRUFAS - PALETA                |
|869    |COCO BRANCO - SORVETE                   |
|870    |BACON SUIN EM PECAS AURORA CX 11 KG     |
|871    |APRESUNTADO PEPERI RETANG SUINO CX 7,40 |
|872    |BATATA PALITO 2,0 KG AURORA             |
|873    |BISTECA SUINA SADIA 10KG                |
|874    |LEITE CONDEN ITAMBE 5KG                 |
|875    |CHOCOLATE TRUFADO - PICOLE              |
|876    |ACAI PREMIUM 10 L - SORVETE             |
|877    |AZEITE FIGUEIRA EXT VIRGEM 12X500ML     |
|878    |GUARDANAPO 23X23CM C/5000FOLHAS -CX100UN|
|879    |AGUA MINERAL COM GAS NATURAGUA 500ML    |
|880    |AGUA MINERAL S/ GAS 500ML NATURAGUA     |
|881    |OREO - SORVETE                          |
|882    |CAPUCCINO - SORVETE                     |
|883    |PRESTIGIO - PALETA                      |
|884    |PAZINHA MISTA NEON 500 UN               |
|885    |COLHER LEVE REFEICAO 50UN BRANCO        |
|886    |TAMPA TERMICA 20RL C/RESP 50UN 360ML    |
|887    |TAMPA P/COPO 16SL 500ML - 100UN         |
|888    |TAMPA/CANUDO 10SL 100UN 300ML           |
|889    |PANO MULTIUSOROLO 50PANOS LARANJA 25MX30|
|890    |LUVA VINIL C/PO MEDIA 100UN             |
|891    |COPO ULTRA 50ML BRANCO - 100UN          |
|892    |PAZINHA CRISTAL - 500UN                 |
|893    |COLHER FORTE BRANCO - 500UN             |
|894    |POTE TERMICO DART 360ML - 25UN          |
|895    |COPO TERMICO 500ML - 25UN               |
|896    |COPO TERMICO 300ML - 25UN               |
|897    |FILME PVC ULTRA 380X300MT               |
|898    |COPO COPOBRAS TRANSP 150ML - 100UN      |
|899    |COPO COPOBRAS MILK SHAKE 300ML - 50UN   |
|900    |MALTINE - PICOLE                        |
|901    |TORTINHA DE LIMAO - ME BELISQUE 220ML   |
|902    |NINHO DE VALSA- ME BELISQUE 220ML       |
|903    |BRIGADEIRO- ME BELISQUE 220ML           |
|904    |CHOCOCANDY 500D DORI                    |
|905    |COBERTURA MARSHMALLOW 6KG MARVI         |
|906    |CASQUINHA CESTINHA 100UN TONS           |
|907    |COCA COLA 350ML                         |
|908    |FANTA UVA 350ML                         |
|909    |GUARANA ANTARCTICA 350ML                |
|910    |SPRITE 350ML                            |
|911    |ARROZ BRANCO NAMORADO 30X1KG            |
|912    |ARROZ PARBORIZADO NAMORADO 30X1KG       |
|913    |ASA FRANGO CARRER CX 12 KG              |
|914    |PEITO IN NAT CONG AVE NOVA 18KG         |
|915    |FRANGO INTEIRO  20KG                    |
|916    |LING DEF  RETA REZENDE  - CX 15KG       |
|917    |PRESUNTO SUINO PEPERI  CX 7,0           |
|918    |QUEIJO MUSSARELA                        |
|919    |PEPERONI FAT FRIMESA 1KG                |
|920    |APRESUNTADO FRIMESA PÇA                 |
|921    |POLPA CAJA DOSADO SEMPRE VIDA FD C/6 PAC|
|922    |POLPA GRAVIO SEMPVIDA DOSADA FD C/6 PAC |
|923    |POLPA MARAC  DOSADA SEMPRVIDA FD C/6 PAC|
|924    |POLPA MOR DOSADA SEMPVIDA  FD C/6 PAC   |
|926    |PRESUNTO  SUINO PERDIGAO 6.800 KG       |
|927    |QUEIJO MUSSARELA LEBOM                  |
|928    |AVE FIESTA                              |
|929    |QUEIJO PARMESAO RALADO SANTA MARTA 1KG  |
|930    |BRIGADEIRO MELKEN 10X1,01KG             |
|931    |AMENDOIM GRAN MELKEN 10X1,05G           |
|932    |MAIONESE BUCAT POTE 4 X 3KG             |
|933    |GORDURA DORATTA BALDE 15KG              |
|934    |FUBA YOKI  FARDO COM 5X5KG              |
|935    |MOSTARDA SACHE GOSTOSAO 168 X 6G        |
|936    |MAIONESE GOSTOSAO POTE 4X3KG            |
|937    |CHOC  EM PO 50% MELKEN 10X1,050KG       |
|938    |BEIJINHO  COCO MELKEN HARALD 10X1,01 KG |
|939    |MOSTARDA GOSTOSÃO 12X930G               |
|940    |REKE PIZZA CHEDDAR 1,2 KG               |
|941    |CHOC  MELKEN  BARRA LEITE10X1,050 KG    |
|942    |FLOCOS ARROZ TOP 10X500G                |
|943    |LING CAL  REGINA 14X0,380G PCT          |
|944    |COXINHA ASA 12X700G PCT                 |
|945    |MOLHO PIZZA BUCATINNI 4X3,200KG         |
|946    |TEMPERO BUCATINNI SEM PIMENTA 6X1 KG    |
|947    |QUEIJO RALADO  BRAGUST 0,500 GR         |
|948    |MOLHO TP CATCHUP GOST 12X930G           |
|949    |BACON CUBOS PCT 1 KG                    |
|950    |FIAT/STRADA WORKING 02 PASSAG 04 CILINDR|
|951    |QUEIJO MUSSARELA CASA GRANDE            |
|952    |MAIONESE  BUCATINNI SACHE 162X 7G       |
|953    |QUEIJO COALHO NUTRILAC REDONDO          |
|954    |QUEIJO COALHO FAN                       |
|955    |QUEIJO MUSSARELA FORTALEZA              |
|956    |QUEIJO MUSSARELA AURORA                 |
|957    |BRIGADEIRO MELKEN POTE 10X1,005KG       |
|958    |BRIGADEIRO MELKEN 10X500G               |
|959    |BEIJINHO COCO MELKEN 10X0,970KG         |
|960    |CHOC PO 50% MELKEN 10X200G              |
|961    |BEIJINHO COCO MELKEN 10X500G            |
|962    |REQUEIJAO REKEMINAS 10X1,500KG BISN     |
|126,127|MORANGO COM LARANJA - PICOLE            |
|126,128|ACAI COM LEITE CONDENSADO - PALETA      |
|126,129|CHOCOLATE COM TRUFA - PALETA            |
|126,130|COCO COM CHOCOLATE - PALETA             |
|126,131|MARACUJA COM LEITE CONDENSADO - PALETA  |
|126,132|MORANGO COM LEITE CONDENSADO - PALETA   |
|126,133|NINHO COM TRUFAS - PALETA               |
|126,134|SERIGUELA - PICOLE                      |
|126,135|ACAI 10 LITROS- SORVETE                 |
|126,136|PEQUI - SORVETE                         |
|126,137|CHOCOLATE DIET - PICOLE                 |
|126,138|MORANGO DIET - PICOLE                   |
|126,139|COCO DIET - PICOLE                      |
|126,140|ACAI ZERO LACTOSE - SORVETE             |
|126,141|MILHO VERDE - SORVETE                   |
|963    |PRESUNTO DE  PERU PERDIGAO              |
|964    |FLOCOS DE MACAXEIRA 500G                |
|965    |BATATA PALITO SEARA 2,0KG - CX 10KG 9M  |
|966    |CARNE CONTRA FILE MARFRIG 20KG          |
|967    |CHOC FORNEAVEL BRANCO CNF 8X1,05KG      |
|968    |MANTEIGA ILDA  BALDE 10KG               |
|969    |PALMITO INTEIRO COOPALMITO 15X300G      |
|970    |CARNE COSTELA TRASE BOV CONG TIRA C/OSSO|
|971    |CARNE RECORT CONTRA FIL BOV  (BANANINHA)|
|972    |AZEITONA VERDE INT MED CAMP BELO  6X2KG |
|973    |AGRIAO SALADA EMBALADO                  |
|974    |ALFACE LISA EMBALADA                    |
|975    |ALFACE CRESPA EMBALADA                  |
|976    |ALFACE CRESPA HIDROPONICA               |
|977    |ALFACE ROXA EMBALADA                    |
|978    |ALFACE AMERICANA EMBALADA               |
|979    |BOLDO EMBALADO                          |
|980    |CAPIM SANTO EMBALADO                    |
|981    |CEBOLINHA                               |
|982    |COENTRO                                 |
|983    |COUVE BROCOLIS EMBALADO                 |
|984    |COUVE MANTEIGA EMBALADO                 |
|985    |ERVA CIDREIRA EMBALADA                  |
|986    |ESPINAFRE EMBALADO                      |
|987    |HORTELA EMBALADO                        |
|988    |MANJERICAO EMBALADO                     |
|989    |ALHO PORRO EMBALADO                     |
|990    |RABANETE EMBALADO                       |
|991    |RUCULA EMBALADA                         |
|992    |SALSA EMBALADA                          |
|993    |SALSA CRESPA                            |
|994    |COUVE BROCOLES JAPONES                  |
|995    |ALCEGA                                  |
|996    |COUVE FLOR                              |
|997    |SALSICHA HOT DOG DUDICO 4X3,3 KG        |
|998    |CATCHUP CEPERA GF 4X3,5KG               |
|999    |AMENDOIM TORRADO SEM PELE 200G          |
|1,000  |COGUMELO FATIADO BD 6X1,01KG CAMPO BELLO|
|1,001  |AZEITONA VERDE INT MIUD CAMP BELO  6X2KG|
|1,002  |LEITE DE COCO TP MENINA 12X1L           |
|1,003  |BACON FATIADO SEARA CX 250G             |
|1,004  |TEMPERO BUCATINNI SEM PIMENTA 6X1KG     |
|1,005  |MACAXEIRA PALITO CX 40X300G             |
|1,006  |MAIONESE SACHE HEMMER CX 190X7 G        |
|1,007  |CATCHUP SACHE HEMMER CX 190X7 G         |
|1,008  |TOMATE SECO BD 6X1,400 - CAMPO BELO     |
|1,009  |COSTELA SUINA CONG TIRAS C/ OSSSO       |
|1,010  |QUEIJO MUSSARELA                        |
|1,011  |MACAXEIRA SERTANEJA PC 2KG              |
|1,012  |REQUEIJAO CREMOSO BETANIA 24X200G       |
|1,013  |REQUEIJAO TRAD 8X1,8KG BISN             |
|1,014  |QUEIJO MUSSARELA FAN                    |
|1,015  |PATINHO FRIBOI 25 KG                    |
|1,016  |COXA C/ SOBRECOXA INDIV CONG AVIVAR 20K |
|1,018  |CATCHUP SABOR MIX SACHE CX 6G C/156UN   |
|1,019  |MAIONESE  SABOR MIX SACHE CX C/ 156UN   |
|1,020  |COMP. ECM 5300010 4HP R 22 380V 3F      |
|1,021  |REQUEIJAO MILKPIZZA 10X1,5KG BISN       |
|1,022  |MOLHO SHOYU BUCATINNI 4 X 3 LT          |
|1,023  |CAIXA PIZZA K35 PARDA                   |
|1,024  |CHOC GRAN CROC ESC CONF 10X1,050KG      |
|1,025  |DOCE CREMOSO DE GOIABA CEPERA BD 4X3,8KG|
|1,026  |BACON SUINO  EM PECAS AURORA            |
|1,027  |PRESUNTO DE PERU SEARA                  |
|1,028  |LEITE INT JAGUARIBE 12X1LT              |
|1,029  |OLEO  LIZA  FARDO 06 UN                 |
|1,030  |FARINHA PANKO ARCOBELLO PCT 10X1,01 KG  |
|1,031  |COGUMELO FATIADO ARCO BELLO BD 6X2KG    |
|1,032  |CARROCERIA FECHADA ISOTERMICA 2.70 X 1.8|
|1,033  |HYUNDAY/ HR HBD PRATA                   |
|1,034  |CATCHUP RUAH PET 750G CX C/12 UN        |
|1,035  |QUEIJO MUSSARELA DONA CLARA             |
|1,036  |MOLHO BARBECUE CEPERA SC 175X7G         |
|1,037  |CREME MISTO CUL OUROLAC 12X1L           |
|1,038  |PRESUNTO COZ S/ CAPA FRIATO 6,800 KG    |
|1,039  |MASSA PASTEL NOBRE SAL 6X2KG            |
|1,040  |MASSA PASTEL REDEPAN CX 10KG            |
|1,041  |MASSA PASTEL REDEPAN EM ROLO 10X3KG     |
|1,042  |QUEIJO COALHO SERVE BEM                 |
|1,043  |ERVILHA BONARE  LT 24X200G              |
|1,044  |VINAGRE DE ALCOOL LORD 12X500 ML        |
|1,045  |TOMATE SECO BD 6X2KG - ARCOBELLO        |
|1,046  |MANTEIGA DA TERRA NUTRILAC 0,500 ML     |
|1,047  |AZEITE COMPOSTO ARO PET 4X5,010 L       |
|1,048  |MILHO VERDE ARO  LT 24X200G             |
|1,049  |COGUMELO FATIADO BD 6X1,01KG CAMP BELO  |
|1,050  |MAIONESE POUNCH RUAH CX 24X200G         |
|1,051  |QUEIJO RALADO  ALDECOCO 0,100G          |
|1,052  |MANTEIGA DA TERRA MATUTINHA 0,420G      |
|1,053  |SAZON CALDO PROF. FRUTOS MAR 6X1,1 KG   |
|1,054  |MILHO VERDE ARO 6X2KG                   |
|1,055  |MILHO VERDE FUGINI 24X200G              |
|1,056  |MOLHO BARBECUE CEPERA 12X1,01 KG        |
|126,030|LIMAO SUICO - PICOLE                    |
|126,031|MAMAO - PICOLE                          |
|126,032|MANGA - PICOLE                          |
|126,033|MANGABA - PICOLE                        |
|126,034|MARACUJA AO LEITE - PICOLE              |
|126,035|MARACUJA FRUTA - PICOLE                 |
|126,036|MELAO - PICOLE                          |
|126,037|MILHO VERDE - PICOLE                    |
